Height,Width,CenterX,CenterY,Area,Perimeter,Compactness,MajorAxis,MinorAxis,Orientation,Eccentricity,HuMoment1,HuMoment2,HuMoment3,HuMoment4,HuMoment5,HuMoment6,HuMoment7,Class
495,428,222.0825045,257.5757038,114915,4546.781,0.930148054,492.9386105,388.331084,-65.05012382,0.61594658,0.208571889,0.002897114,0.00133249,7.38E-05,2.26E-08,1.23E-06,-1.69E-09,0
504,474,239.9025087,257.3343385,158845,2297.35,0.621793417,527.3615127,412.0112842,-50.86402047,0.624194285,0.176223527,0.001817956,0.000504475,1.16E-05,8.24E-10,3.53E-07,-1.37E-10,0
619,455,235.5421467,301.0594444,173086,2671.475,0.695231851,615.0001551,403.3013247,-72.91772341,0.754956957,0.195307261,0.006059163,0.001559719,5.62E-05,-7.96E-09,-2.36E-06,1.11E-08,0
616,464,240.657787,304.4508924,171440,3001.093,0.760798932,609.3823696,407.887309,-69.4969855,0.742951334,0.196033028,0.005584077,0.001456378,4.18E-05,-8.84E-09,-2.61E-06,3.36E-09,0
608,454,234.7287639,297.1704874,168687,3997.24,0.867330519,605.9667861,401.4486274,-71.03025028,0.749068289,0.195763101,0.005827219,0.001469768,4.48E-05,-8.37E-09,-2.46E-06,5.60E-09,0
597,502,262.8176497,301.7467625,182473,3023.263,0.749125443,602.5283426,432.912033,-60.14996295,0.695534813,0.188545081,0.003619322,0.000981247,2.74E-05,-6.72E-10,-8.44E-07,-4.45E-09,0
594,497,259.5735907,297.7582768,180111,3053.143,0.757196015,598.3425078,429.3139018,-61.36240781,0.696553077,0.188195051,0.003633834,0.00106875,2.82E-05,-2.43E-09,-1.24E-06,-4.53E-09,0
565,444,225.8151266,278.3533767,155712,2289.502,0.62670696,562.2557544,391.3455556,-68.56973019,0.718014972,0.188365717,0.004279423,0.001217282,2.84E-05,-4.79E-09,-1.70E-06,1.06E-09,0
565,460,237.8746252,279.6291192,158102,2468.452,0.673939752,566.9098966,395.8395283,-64.55360744,0.715863123,0.188996529,0.004239492,0.0012233,2.91E-05,-5.48E-09,-1.89E-06,-8.69E-10,0
570,454,234.8993991,280.3296179,158438,2265.196,0.611976844,572.7630495,390.6855462,-65.84411862,0.731252605,0.189626511,0.004788607,0.001261378,3.12E-05,-5.78E-09,-2.03E-06,1.09E-09,0
567,461,240.9649284,279.0932214,157421,3304.9,0.818884389,572.5769554,391.01043,-63.40743962,0.730515743,0.190867918,0.004824541,0.001297707,2.96E-05,-5.79E-09,-2.06E-06,-1.16E-09,0
570,457,239.1830914,281.2118108,157872,2511.953,0.685593181,574.9137573,388.3553476,-63.93314439,0.737358227,0.190559556,0.005061509,0.001327233,3.75E-05,-8.35E-09,-2.67E-06,-1.51E-09,0
568,460,241.6041747,280.3598515,157615,2619.753,0.711406385,574.7702223,388.2494577,-63.1755937,0.737372462,0.190774869,0.00507348,0.001258527,3.27E-05,-6.65E-09,-2.33E-06,-8.68E-10,0
569,458,240.0202388,280.3561385,158458,2433.901,0.663861532,575.8161957,388.3708432,-63.47676009,0.738302106,0.190269493,0.005081716,0.001278667,3.80E-05,-8.36E-09,-2.70E-06,-1.10E-09,0
570,459,239.150603,281.8976103,157301,2534.86,0.692366667,571.9898154,390.2658852,-64.52008785,0.731076814,0.190514681,0.004827899,0.001306263,3.96E-05,-8.97E-09,-2.73E-06,-8.18E-10,0
564,474,251.6900259,280.0384217,161107,2692.411,0.72071889,572.5622075,397.3984487,-60.32456434,0.719907186,0.188445406,0.004344221,0.001131625,2.74E-05,-3.46E-09,-1.55E-06,-3.52E-09,0
568,467,246.6959688,281.1418463,158714,3019.713,0.781277348,576.0737141,392.4039476,-61.31695,0.732125581,0.191321807,0.004906565,0.001264732,3.19E-05,-5.78E-09,-2.15E-06,-2.98E-09,0
577,450,237.524537,284.2675316,152382,2666.596,0.730704506,577.4204921,377.7190197,-65.80463246,0.756365736,0.195269521,0.006120604,0.001560474,4.70E-05,-1.24E-08,-3.56E-06,8.13E-10,0
588,436,227.242219,291.0903116,148663,2853.429,0.770554991,581.6174159,368.7387677,-68.89705922,0.773342453,0.199379427,0.007234203,0.001741587,6.09E-05,-1.65E-08,-4.33E-06,6.91E-09,0
579,440,232.4213624,283.2175185,152764,2819.161,0.758458851,580.9551369,377.4136335,-67.99037545,0.76023913,0.196361239,0.006369299,0.001525744,5.33E-05,-1.07E-08,-3.05E-06,9.98E-09,0
574,425,229.7750819,279.090164,147387,2695.868,0.745157536,577.1308248,372.7990203,-69.57879224,0.76337772,0.200181399,0.006774405,0.001592786,5.48E-05,-7.55E-09,-2.11E-06,1.46E-08,0
579,408,220.2596053,279.4293421,144400,2445.954,0.696694359,583.6777656,361.7938504,-71.8146947,0.784718711,0.204110061,0.008244974,0.001769341,8.73E-05,-1.38E-09,-9.55E-07,3.47E-08,0
595,394,208.5869033,289.0432014,140875,2363.177,0.683005818,595.6859894,346.9614882,-74.83573401,0.812861499,0.210837155,0.010819618,0.002035737,0.000120133,1.56E-08,1.38E-06,5.44E-08,0
603,422,241.9072331,282.3469248,143521,3506.126,0.853286433,630.7855467,347.5162177,-67.7010944,0.834554036,0.225868669,0.014563675,0.003118239,0.000282759,1.79E-07,1.63E-05,5.80E-08,0
566,412,227.6139446,267.0104051,136856,2342.685,0.686638301,581.3322682,349.3029013,-67.52559456,0.799349629,0.210057966,0.00972435,0.002283459,0.000132569,2.88E-08,2.34E-06,4.78E-08,0
622,425,233.3904766,295.3206351,148708,3412.784,0.83955485,636.6420461,353.6398473,-70.39283178,0.831532076,0.222909853,0.013873774,0.002820767,0.00021431,6.66E-08,5.19E-06,1.48E-07,0
504,469,236.5798299,261.7503953,146712,2543.174,0.714948486,530.8456927,382.1451291,-50.69259473,0.694098675,0.182263453,0.003345636,0.000590079,3.00E-05,3.65E-09,1.27E-06,-3.03E-10,0
304,520,233.5912849,183.421661,100263,2735.988,0.831685248,544.9661383,271.9218159,-16.75443747,0.866619193,0.231226461,0.019332856,0.001291237,0.000106643,3.40E-08,1.19E-05,-3.05E-08,0
416,551,264.2764188,247.2285625,144140,3991.261,0.886296424,582.0681885,352.5132874,-24.69537644,0.795752487,0.20078933,0.008653777,0.000550608,3.73E-05,3.31E-09,-9.11E-07,-4.64E-08,0
